Name	City	Zip	Score	Non-Smoking	Date	Street
DOLLAR GENERAL # 11067	HUNTSVILLE	35801	93	Yes	1/8/2015	1008 Andrew Jackson Way
DOLLAR GENERAL # 11227	HUNTSVILLE	35806	93	Yes	5/6/2014	6201 Old Madison Pike
DOLLAR GENERAL # 13651	HUNTSVILLE	35810	92		8/15/2014	5991 Pulaski Pike
DOLLAR GENERAL # 13942	TONEY	35773	94		4/23/2014	9868 Pulaski Pike
DOLLAR GENERAL # 13987	HUNTSVILLE	35816	94	Yes	1/8/2015	2806 Holmes Ave
DOLLAR GENERAL # 14006	HARVEST	35749	97		2/24/2015	9120 Wall Triana Hwy
DOLLAR GENERAL # 14131	HUNTSVILLE	35816	92	Yes	6/12/2014	4061 Independence Drive
DOLLAR GENERAL # 15357	HUNTSVILLE	35805	97		11/6/2014	4120 Triana Boulevard
DOLLAR GENERAL # 1680	NEW HOPE	35760	90	Yes	7/10/2014	10129 Hwy 431 S
DOLLAR GENERAL # 1681	GURLEY	35748	94	Yes	1/26/2015	5980 Hwy 72 E, P.O. Box 400
DOLLAR GENERAL # 2516	HUNTSVILLE	35816	92	Yes	4/11/2014	2420 Jordan Ln, NW
DOLLAR GENERAL # 3726	HUNTSVILLE	35811	94		12/3/2014	1604 Winchester Dr. NE
DOLLAR GENERAL # 4095	MERIDIANVILLE	35759	93	Yes	2/13/2015	110 Crossing Blvd
DOLLAR GENERAL # 6093	HUNTSVILLE	35803	97	Yes	5/20/2014	1400 Weatherly Plaza
DOLLAR GENERAL # 6219	HUNTSVILLE	35801	89	Yes	7/10/2014	2806 Memorial Pkwy SW
DOLLAR GENERAL # 6474	NEW MARKET	35761	92	Yes	1/23/2015	4991 Winchester Road
DOLLAR GENERAL # 6797	HAMPTON COVE	35763	92	Yes	7/22/2014	6466 Hwy 431 S Ste 1
DOLLAR GENERAL # 6903	MADISON	35757	93	Yes	1/14/2015	610 Nance Road
DOLLAR GENERAL # 7037	MADISON	35758	90	Yes	1/14/2015	7950 Hwy 72 W, Suite D
