Name	City	Zip	Score	Non-Smoking	Date	Street
MICROTEL INN & SUITES CONT. B'FAST	HUNTSVILLE	35811	97	Yes	11/7/2014	1820 Chase Creek Row
MILTON FRANK STADIUM	HUNTSVILLE	35805	100	Yes	10/14/2014	2801 15th Avenue
MINI MART	HUNTSVILLE	35810	93	Yes	1/29/2015	2206 Mastin Lake Road
MINIT MAN # 051	HUNTSVILLE	35801	95	Yes	2/3/2015	2600 S. Memorial Pkwy
MINIT MAN # 056	BROWNSBORO	35741	95	Yes	1/22/2015	5600 Hwy 431 S
MINIT MAN # 057	HUNTSVILLE	35805	98	Yes	4/8/2014	4000 Holmes Avenue
MINIT MAN # 061	HUNTSVILLE	35802	96	Yes	1/21/2015	8212 Bailey Cove Road
MINIT MAN # 302	HUNTSVILLE	35816	95	Yes	5/23/2014	4001 University Drive
MINIT MAN # 303	HUNTSVILLE	35811	87	Yes	12/15/2014	2003 Meridian Street
MINIT MAN # 306	HUNTSVILLE	35803	96	Yes	2/27/2015	10001 S. Memorial Pkwy
MINIT MAN # 307	MADISON	35758	97	Yes	1/21/2015	8002 Hwy 72 W
MINIT MAN # 308	HUNTSVILLE	35806	96	Yes	6/20/2014	6150 University Drive
MINIT MAN # 313	HUNTSVILLE	35805	94	Yes	1/22/2015	3315 Governors Drive
MINIT MAN # 317/SUBWAY	HUNTSVILLE	35811	95	Yes	8/12/2014	1574 Winchester Rd
MINIT MAN # 327	HUNTSVILLE	35803	94	Yes	6/6/2014	11900 S. Memorial Pkwy
MINIT MAN # 328	HUNTSVILLE	35802	93	Yes	6/12/2014	5004 Whitesburg Drive
MOORES MILL GROCERY	HUNTSVILLE	35811	93	Yes	9/8/2014	7346 Moores Mill Rd
MYSTIK FOOD MART	HUNTSVILLE	35806	87	Yes	7/14/2014	6214 Old Madison Pike
NEIGHBOUR QUICK STOP	HUNTSVILLE	35810	90	Yes	1/9/2015	3421 Pulaski Pike
NELCO EXPRESS	HUNTSVILLE	35806	88		3/24/2014	1109 Slaughter Road
NIKHIL HERITAGE INC. DBA KYLE'S KORNER	HUNTSVILLE	35801	91	Yes	2/3/2015	307 Andrew Jackson Way
OAKWOOD EXXON INC DBA 24/7	HUNTSVILLE	35811	94	Yes	2/5/2015	508 Oakwood Ave
ORANGE TREE FROZEN YOGURT	HUNTSVILLE	35806	94	Yes	11/13/2014	6782 Old Madison Pike Bldg 315
PAPA JACK'S # 14	HUNTSVILLE	35806	85	Yes	7/25/2014	6090 Old Madison Pike NW
PAPA JOHN'S PIZZA	HARVEST	35749	94	Yes	12/8/2014	5850 Hwy 53 #A
PAPA JOHN'S PIZZA # 318	HUNTSVILLE	35811	95	Yes	9/29/2014	1924-B Winchester Road NE
PAPA JOHN'S PIZZA # 319	HUNTSVILLE	35816	88	Yes	8/13/2014	4710 University Dr NW
PAPA JOHN'S PIZZA # 346	HUNTSVILLE	35801	94	Yes	1/15/2015	2806-B S. Memorial Pkwy
PAPA JOHN'S PIZZA # 370	HUNTSVILLE	35802	98	Yes	1/27/2015	2750 Carl T. Jones Dr, Ste 215
PAPA JOHN'S PIZZA # 371	MADISON	35758	89	Yes	12/23/2014	300-F Hughes Road, Suite C
PAPA JOHNS (UAHUNTSVILLE)	HUNTSVILLE	35899	97	Yes	8/27/2014	507 John Wright Dr.
PAPA MURPHY'S PIZZA	MADISON	35758	96	Yes	1/20/2015	7830 Highway 72, West # 210
PAPA MURPHY'S TAKE 'N' BAKE PIZZA	HUNTSVILLE	35810	99	Yes	3/17/2015	2250 Sparkman Drive, Ste 300
PAPA MURPHY'S TAKE 'N' BAKE PIZZA	HUNTSVILLE	35803	95	Yes	1/15/2015	11437 South Memorial Parkway #
PAPA MURPHY'S TAKE 'N' BAKE PIZZA	HUNTSVILLE	35802	95	Yes	1/21/2015	5000 Whitesburg Dr #112
PARKWAY EXPRESS	HUNTSVILLE	35803	92	Yes	6/6/2014	11550 S. Memorial Pkwy
PARKWAY LIQUOR AND TOBACCO	HUNTSVILLE	35801	93	Yes	3/20/2014	513 Drake Ave
PEARLY'S NATURAL FOOD & MERCANTILE LLC	HUNTSVILLE	35805	99		12/23/2014	2818 B Governors Dr.
PHARMACY FIRST	HUNTSVILLE	35801	97	Yes	1/27/2015	2302 Whitesburg Drive
PIGGLY WIGGLY # 82 (PRODUCE)	NEW HOPE	35760	98	Yes	10/20/2014	10199 Hwy 431
PIGGLY WIGGLY # 84 (PRODUCE)	GURLEY	35748	97	Yes	2/9/2015	6022 Hwy 72 E
PIZZA 120, LLC	MADISON	35758	96	Yes	2/12/2015	107 Brookridge Drive, Suite A
PIZZELLE'S CONFECTIONS	HUNTSVILLE	35805	99	Yes	1/29/2015	2211 Seminole Dr, Railroad Roo
POP CULTURE, LLC DBA SUZY'S GOURMET MARKET ICE POPS	HUNTSVILLE	35805	98		1/29/2015	2211 Seminole Dr Suite 2060
PRETZEL TWISTER	HUNTSVILLE	35806	97	Yes	1/21/2015	5901 University Drive Suite 42
PRIMROSE SCHOOL OF MADISON	MADISON	35758	91	Yes	1/27/2015	124 Plaza Blvd.
PROPST DISCOUNT DRUGS, INC.	HUNTSVILLE	35801	92	Yes	3/12/2015	717 Pratt Ave NE
PUBLIX SUPER MARKET # 1126 (PRODUCE)	HUNTSVILLE	35811	100	Yes	1/12/2015	2246 Winchester Road NE
PUBLIX SUPER MARKET # 1190 (PRODUCE)	MERIDIANVILLE	35759	98	Yes	3/19/2015	12290 Highway 231/431 North
PUBLIX SUPER MARKET # 1218 (PRODUCE)	HARVEST	35749	98	Yes	2/23/2015	5850 Hwy 53
PUBLIX SUPER MARKET # 209 (PRODUCE)	HUNTSVILLE	35803	94	Yes	11/20/2014	12796 Bailey Cove Road
PUBLIX SUPER MARKET # 573 (PRODUCE)	OWENS CROSS ROADS	35763	98	Yes	10/10/2014	6707 Hwy 431 S
PUBLIX SUPER MARKET # 574 (PRODUCE)	HUNTSVILLE	35801	99	Yes	1/26/2015	4851 Whitesburg Drive
PUBLIX SUPER MARKET # 598 (PRODUCE)	MADISON	35758	98	Yes	10/21/2014	8000 Madison Blvd.
PUBLIX SUPER MARKET # 745 (PRODUCE)	MADISON	35758	100	Yes	2/20/2015	7830 Hwy 72 W, Ste 300
QUALITY INN	HUNTSVILLE	35816	92	Yes	11/26/2014	3788 University Drive
QUALITY INN CONTINENTAL BREAKFAST	MADISON	35758	96		3/18/2015	102 A Arlington Dr.
QUICK TRIP	HUNTSVILLE	35810	92	Yes	4/24/2014	5160 Blue Spring Road
R.D.H. ENTERPRISES DBA CAT & MOUSE CLUB	HUNTSVILLE	35816	93	No	5/16/2014	1303-C Boxwood Ct
RACEWAY @ BOB WADE LANE	MERIDIANVILLE	35759	97		12/1/2014	11007 Hwy 231/431 N
RAMADA-HUNTSVILLE-CONT. BREAKFAST	HUNTSVILLE	35816	93	Yes	10/24/2014	4880 University Drive NW
